iter	Logloss
0	0.687789412
1	0.6806939277
2	0.6754675558
3	0.6708149747
4	0.6652474749
5	0.6596469109
6	0.6537485655
7	0.6479078337
8	0.6443847593
9	0.6385517993
10	0.6342388185
11	0.6297030427
12	0.6256582503
13	0.6221724119
14	0.6188525199
15	0.6165344866
16	0.6122130058
17	0.6085648784
18	0.6048409608
19	0.6016027419
20	0.5985332218
21	0.5956130239
22	0.5912260848
23	0.5875290843
24	0.5845055913
25	0.5816199938
26	0.5780803165
27	0.5747196652
28	0.5725236047
29	0.5698754735
30	0.5673483959
31	0.5644861578
32	0.5616629787
33	0.5585329355
34	0.556404222
35	0.5544394493
36	0.5514251214
37	0.5495392532
38	0.5474761843
39	0.5453981098
40	0.5439175505
41	0.5416506214
42	0.5390976136
43	0.537763008
44	0.5351245521
45	0.5335001345
46	0.5317329832
47	0.5289452945
48	0.5269114117
49	0.5245109726
50	0.5228888747
51	0.5216479638
52	0.519802196
53	0.517798314
54	0.5164601085
55	0.5154349203
56	0.5140335153
57	0.5124666478
58	0.5100156556
59	0.5083958126
60	0.5068547962
61	0.5045653968
62	0.5026974911
