R_fighter,B_fighter,Average_Odds_f1,Average_Odds_f2,date,title_bout,win_by,weight_class,red_fighters_elo,blue_fighters_elo,red_Fighter_Odds,blue_Fighter_Odds,Winner,R_Fight_Number,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_WinLossRatio,R_RingRust,R_Winning_Streak,R_Losing_Streak,R_AVG_fight_time,R_total_title_bouts,R_Takedown_Defense,R_Takedown Accuracy,R_Strikes_Per_Minute,R_Striking Accuracy,R_Strikes_Absorbed_per_Minute,R_Striking Defense,R_knockdows_per_minute,R_Submission Attempts,R_Average_Num_Takedowns,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Power_Rating,red_skill,wrestling_red_skill,striking_red_skill,g_and_p_red_skill,jiujitsu_red_skill,grappling_red_skill,B_Fight_Number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_WinLossRatio,B_RingRust,B_Winning_Streak,B_Losing_Streak,B_AVG_fight_time,B_total_title_bouts,B_Takedown_Defense,B_Takedown Accuracy,B_Strikes_Per_Minute,B_Striking Accuracy,B_Strikes_Absorbed_per_Minute,B_Striking Defense,B_knockdows_per_minute,B_Submission Attempts,B_Average_Num_Takedowns,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Power_Rating,blue_skill,wrestling_blue_skill,striking_blue_skill,g_and_p_blue_skill,jiujitsu_blue_skill,grappling_blue_skill
Cole Miller,Andy Wang,-450.0,475.0,2007-06-23,False,KO/TKO,Lightweight,,,0.8181818181818182,0.17391304347826086,Red,1.0,Orthodox,185.42,187.96,23.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,167.64,,30.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Gray Maynard,Rob Emerson,-400.0,300.0,2007-06-23,False,Could Not Continue,Lightweight,,,0.8,0.25,Draw,1.0,Orthodox,175.26,177.8,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,175.26,177.8,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Leonard Garcia,Allen Berube,-700.0,525.0,2007-06-23,False,Submission,Lightweight,,,0.875,0.16,Red,1.0,Orthodox,177.8,175.26,27.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,172.72,,32.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Matt Wiman,Brian Geraghty,-415.0,350.0,2007-06-23,False,KO/TKO,Lightweight,,,0.8058252427184466,0.2222222222222222,Red,1.0,Orthodox,177.8,172.72,23.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,170.18,,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Frankie Edgar,Mark Bocek,-200.0,190.0,2007-07-07,False,KO/TKO,Lightweight,,,0.6666666666666666,0.3448275862068966,Red,1.0,Orthodox,167.64,172.72,25.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,172.72,190.5,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Chris Lytle,Jason Gilliam,-410.0,335.0,2007-07-07,False,Submission,Welterweight,,,0.803921568627451,0.22988505747126436,Red,1.0,Orthodox,180.34,172.72,32.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,1.0,Orthodox,182.88,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jorge Gurgel,Diego Saraiva,-205.0,195.0,2007-07-07,False,Decision - Unanimous,Lightweight,,,0.6721311475409836,0.3389830508474576,Red,1.0,Orthodox,170.18,175.26,30.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,167.64,,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Stephan Bonnar,Mike Nickels,-430.0,400.0,2007-07-07,False,Submission,Light Heavyweight,,,0.8113207547169812,0.2,Red,1.0,Orthodox,193.04,198.12,30.0,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,1.0,Orthodox,193.04,,35.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Rashad Evans,Tito Ortiz,125.0,-110.0,2007-07-07,False,Decision - Unanimous,Light Heavyweight,,,0.4444444444444444,0.5238095238095238,Draw,1.0,Orthodox,182.88,190.5,27.0,,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,1.0,Orthodox,190.5,187.96,32.0,,,,,,,,,,,,,,,,0.0,2.0,3.0,7.0,1.0,1.0,,,,,,,
Kenny Florian,Alvin Robinson,-200.0,215.0,2007-07-07,False,KO/TKO,Lightweight,,,0.6666666666666666,0.31746031746031744,Red,1.0,Southpaw,177.8,187.96,31.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,1.0,Southpaw,175.26,172.72,24.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
