R_fighter,B_fighter,Average_Odds_f1,Average_Odds_f2,date,title_bout,win_by,weight_class,red_fighters_elo,blue_fighters_elo,red_Fighter_Odds,blue_Fighter_Odds,Winner,R_Fight_Number,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_WinLossRatio,R_RingRust,R_Winning_Streak,R_Losing_Streak,R_AVG_fight_time,R_total_title_bouts,R_Takedown_Defense,R_Takedown Accuracy,R_Strikes_Per_Minute,R_Striking Accuracy,R_Strikes_Absorbed_per_Minute,R_Striking Defense,R_knockdows_per_minute,R_Submission Attempts,R_Average_Num_Takedowns,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Power_Rating,red_skill,wrestling_red_skill,striking_red_skill,g_and_p_red_skill,jiujitsu_red_skill,grappling_red_skill,B_Fight_Number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_WinLossRatio,B_RingRust,B_Winning_Streak,B_Losing_Streak,B_AVG_fight_time,B_total_title_bouts,B_Takedown_Defense,B_Takedown Accuracy,B_Strikes_Per_Minute,B_Striking Accuracy,B_Strikes_Absorbed_per_Minute,B_Striking Defense,B_knockdows_per_minute,B_Submission Attempts,B_Average_Num_Takedowns,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Power_Rating,blue_skill,wrestling_blue_skill,striking_blue_skill,g_and_p_blue_skill,jiujitsu_blue_skill,grappling_blue_skill
James Irvin,Houston Alexander,230.0,-246.0,2008-04-02,False,KO/TKO,Light Heavyweight,,1200.0,0.30303030303030304,0.7109826589595376,Red,1.0,Orthodox,187.96,190.5,29.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,3.0,Orthodox,182.88,182.88,36.0,0.5,68.5054742338158,0.0,1.0,2.13,0.0,0.25,1.0,18.12947448591013,0.375,3.8796648895658796,0.5857142857142857,0.49504950495049505,0.0,2.307692307692308,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5555555555555556,25.71898187676572,20.604167980000835,25.71898187676572,24.954246683290606,21.541609396257527,20.914221745208124
Kenny Florian,Joe Lauzon,-185.0,180.0,2008-04-02,False,KO/TKO,Lightweight,1268.7314888238514,1268.7314888238514,0.6491228070175439,0.35714285714285715,Red,3.0,Southpaw,177.8,187.96,31.0,1.0,98.97474425326898,2.0,0.0,4.305,2.0,0.5,0.8,10.333459234878326,0.5493421052631579,1.0457022608320294,0.7125,0.0,1.7401392111368912,8.712836561808667,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.018518518518518517,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,3.0,Orthodox,177.8,180.34,23.0,1.0,82.13606597185753,2.0,0.0,4.115,0.0,1.0,0.625,3.8459159181451517,0.538961038961039,0.8617276618909757,0.7028985507246377,0.0,12.925914928364636,9.752431148392844,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.225,31.95718123075737,31.95718123075737,25.0,25.0,31.95718123075737,31.95718123075737
Nate Diaz,Kurt Pellegrino,-145.0,141.0,2008-04-02,False,Submission,Lightweight,1269.5026570516548,1200.3931755374513,0.5918367346938775,0.4149377593360996,Red,3.0,Southpaw,182.88,193.04,22.0,1.0,63.129496539520524,2.0,0.0,3.745,1.0,,0.6666666666666666,2.521404417583999,0.6420454545454546,1.148643787322829,0.55,0.12195121951219513,9.912583639110728,6.254047053744873,0.0,0.0,0.0,0.0,1.0,0.0,0.05,32.58164353056947,26.28959038789945,29.39583201999916,25.0,30.810258069664012,30.92694118173258,3.0,Orthodox,172.72,177.8,28.0,0.5,75.56674753708361,1.0,0.0,10.775,0.0,0.5,0.55,4.793129770992366,0.37384184443007973,1.7053435114503817,0.6730769230769231,0.0,0.5,2.6450381679389317,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,24.50520059586327,23.948941264451957,24.50520059586327,20.604167980000835,30.012422728542976,23.948941264451957
Matt Hamill,Tim Boetsch,-180.0,206.0,2008-04-02,False,KO/TKO,Light Heavyweight,1187.5,1232.4814888238514,0.6428571428571429,0.32679738562091504,Red,2.0,Orthodox,185.42,193.04,31.0,0.0,146.37110370561533,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.5,1.0,0.0,0.0,,20.604167980000835,29.39583201999916,25.000000000000004,25.0,29.39583201999916,29.39583201999916,2.0,Orthodox,182.88,187.96,27.0,1.0,42.42640687119285,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.5,0.0,0.0,,28.458390603742465,28.458390603742465,28.458390603742465,25.0,25.0,23.040377370369963
Thiago Alves,Karo Parisyan,134.0,-135.0,2008-04-02,False,KO/TKO,Welterweight,1248.75,1236.25,0.42735042735042733,0.574468085106383,Red,3.0,Orthodox,175.26,177.8,24.0,1.0,68.7192355409556,2.0,0.0,9.52,0.0,0.3333333333333333,1.0,9.865044247787612,0.4640893470790378,2.929646017699115,0.6436298076923077,0.05,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0953525641025641,33.0726821632326,18.770370970395735,27.94449859619351,25.0,25.0,22.771820931829993,2.0,Orthodox,177.8,182.88,25.0,1.0,96.87362902255701,1.0,0.0,,0.0,,,,,,,,,,0.0,0.5,2.5,0.5,0.5,0.0,,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916
Gray Maynard,Frankie Edgar,216.0,-210.0,2008-04-02,False,Decision - Unanimous,Lightweight,1272.5,1268.7314888238514,0.31645569620253167,0.6774193548387096,Red,4.0,Orthodox,175.26,177.8,28.0,0.8333333333333334,52.77625728803942,3.0,0.0,6.826666666666667,0.0,0.25,1.0,18.50782656496942,0.5664983164983165,0.541084312512884,0.4424242424242424,3.725925925925926,1.927643784786642,2.5219542362399507,0.0,0.0,0.25,0.25,0.0,0.0,0.13675213675213674,30.781760583043717,31.22962902960427,34.536993509820135,33.0726821632326,32.14386526607228,30.13576582523354,3.0,Orthodox,167.64,172.72,26.0,1.0,77.96794213008319,2.0,0.0,9.775,0.0,,0.8333333333333333,8.567399267399267,0.5528598218471636,0.8593406593406594,0.7781954887218046,0.0,0.0,4.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.011904761904761904,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737
Cain Velasquez,Brad Morris,-240.0,250.0,2008-04-19,False,KO/TKO,Heavyweight,,,0.7058823529411765,0.2857142857142857,Red,1.0,Orthodox,185.42,195.58,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,187.96,,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Rich Clementi,Sam Stout,131.0,-125.0,2008-04-19,False,Decision - Split,Lightweight,1268.7314888238514,1236.25,0.4329004329004329,0.5555555555555556,Red,3.0,Southpaw,175.26,182.88,32.0,1.0,61.02458520956943,2.0,0.0,6.2250000000000005,0.0,0.25,0.75,2.5134105025409372,0.5833333333333333,1.9346414455110106,0.6411111111111112,0.0,5.272444946357989,4.34076792772445,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.95718123075737,27.891323270662387,20.604167980000835,20.604167980000835,31.95718123075737,31.95718123075737,2.0,Orthodox,175.26,177.8,23.0,1.0,64.34671708797582,1.0,0.0,,0.0,,,,,,,,,,0.0,0.5,0.5,0.0,0.0,0.0,,29.39583201999916,29.39583201999916,20.604167980000835,29.39583201999916,20.604167980000835,29.39583201999916
Jason Day,Alan Belcher,336.0,-345.0,2008-04-19,False,KO/TKO,Middleweight,,1212.5,0.22935779816513763,0.7752808988764045,Red,1.0,Orthodox,182.88,182.88,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,Orthodox,187.96,185.42,23.0,1.0,128.69343417595164,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.5,0.5,0.5,,29.39583201999916,20.604167980000835,29.39583201999916,25.0,25.0,25.000000000000004
Demian Maia,Ed Herman,-160.0,160.0,2008-04-19,False,Submission,Middleweight,1232.8708541662402,1268.7314888238514,0.6153846153846154,0.38461538461538464,Red,2.0,Southpaw,185.42,182.88,30.0,1.0,128.69343417595164,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,28.695873749299952,28.695873749299952,25.0,25.0,28.695873749299952,28.695873749299952,3.0,Orthodox,185.42,195.58,27.0,1.0,88.91194145520237,2.0,0.0,8.82,1.0,0.9,0.6333333333333333,6.52663369951213,0.569610307982401,0.6400053101456971,0.513157894736842,0.04812319538017324,2.0689655172413794,4.547144137267266,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.011627906976744186,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737
Jonathan Goulet,Kuniyoshi Hironaka,221.0,-235.0,2008-04-19,False,KO/TKO,Welterweight,1207.1476570099085,1163.75,0.3115264797507788,0.7014925373134329,Red,3.0,Orthodox,182.88,185.42,28.0,0.5,66.9552089086428,1.0,0.0,2.78,0.0,1.0,1.0,1.9230769230769231,0.3235294117647059,2.673255537032627,0.5,0.0,1.6968325791855203,11.669445105977616,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,25.790451195694832,31.95718123075737,25.000000000000004,29.39583201999916,25.790451195694832,25.790451195694832,2.0,Orthodox,177.8,177.8,31.0,0.0,150.61374439273462,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.5,0.0,0.0,0.0,,20.604167980000835,29.39583201999916,20.604167980000835,25.0,25.0,25.000000000000004
Nate Quarry,Kalib Starnes,-210.0,205.0,2008-04-19,False,Decision - Unanimous,Middleweight,1236.25,1187.5,0.6774193548387096,0.32786885245901637,Red,2.0,Open Stance,182.88,182.88,36.0,1.0,150.61374439273462,1.0,0.0,,1.0,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,29.39583201999916,20.604167980000835,29.39583201999916,25.0,25.0,20.604167980000835,2.0,Orthodox,190.5,187.96,33.0,0.0,128.69343417595164,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,20.604167980000835,29.39583201999916,20.604167980000835,25.0,25.0,25.000000000000004
Georges St-Pierre,Matt Serra,-400.0,445.0,2008-04-19,True,KO/TKO,Welterweight,1268.7314888238514,,0.8,0.1834862385321101,Red,3.0,Orthodox,180.34,193.04,26.0,1.0,69.06036007242746,2.0,0.0,12.27,3.0,0.875,1.0,4.129769392033543,0.6614754098360656,0.3953878406708595,0.7589118198874296,0.0,4.8584905660377355,3.358490566037736,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.09304511278195488,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,31.95718123075737,1.0,Orthodox,167.64,172.72,33.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,0.0,,,,,,,
Mac Danzig,Mark Bocek,-400.0,400.0,2008-04-19,False,Submission,Lightweight,1236.25,1200.0,0.8,0.2,Red,2.0,Orthodox,172.72,177.8,28.0,1.0,94.04520189781083,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,29.39583201999916,29.39583201999916,29.39583201999916,25.0,29.39583201999916,29.39583201999916,3.0,Orthodox,172.72,190.5,26.0,0.5,88.6359595950387,1.0,0.0,9.775,0.0,0.5,0.20588235294117646,2.592673992673993,0.3030852994555354,4.13992673992674,0.5462962962962963,0.0,0.0,3.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,24.281018123234272,26.643243074630735,20.604167980000835,24.281018123234272,24.281018123234272,26.643243074630735
Michael Bisping,Charles McCarthy,-321.0,315.0,2008-04-19,False,KO/TKO,Middleweight,1199.5504702906808,,0.7624703087885986,0.24096385542168675,Red,3.0,Orthodox,185.42,190.5,29.0,0.5,77.10598766200543,0.0,1.0,15.0,1.0,0.5625,1.0,6.733333333333333,0.3533950617283951,2.6333333333333333,0.6420096403411197,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.06941489361702127,24.3568050222848,16.927317836767397,27.22817906817001,25.0,18.04281876924262,17.856134733927718,1.0,Orthodox,177.8,180.34,27.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Rich Franklin,Travis Lutter,-240.0,261.0,2008-04-19,False,KO/TKO,Middleweight,1200.0,,0.7058823529411765,0.2770083102493075,Red,3.0,Southpaw,185.42,190.5,33.0,0.5,93.21659365871149,0.0,1.0,10.535,4.0,0.75,0.41666666666666663,5.212191103789126,0.37289915966386555,3.779187259747391,0.4410385863685539,0.0,0.0,1.7355848434925865,0.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.18308080808080807,25.71898187676572,26.643243074630735,25.71898187676572,25.0,20.604167980000835,24.281018123234272,1.0,Orthodox,180.34,190.5,34.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,
Shane Carwin,Christian Wellisch,-200.0,205.0,2008-05-24,False,KO/TKO,Heavyweight,,1236.25,0.6666666666666666,0.32786885245901637,Red,1.0,Orthodox,187.96,203.2,33.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,Orthodox,187.96,195.58,32.0,1.0,173.24116139070415,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,29.39583201999916,29.39583201999916,20.604167980000835,25.0,29.39583201999916,29.39583201999916
Dong Hyun Kim,Jason Tan,-261.0,250.0,2008-05-24,False,KO/TKO,Welterweight,,1163.75,0.7229916897506925,0.2857142857142857,Red,1.0,Southpaw,187.96,193.04,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,Orthodox,177.8,,26.0,0.0,242.5376259469858,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,20.604167980000835,25.0,20.604167980000835,25.0,25.0,25.000000000000004
Rich Clementi,Terry Etim,-227.0,226.0,2008-05-24,False,Decision - Unanimous,Lightweight,1280.066266122555,1163.75,0.6941896024464832,0.3067484662576687,Red,4.0,Southpaw,175.26,182.88,32.0,1.0,52.81019472286262,3.0,0.0,9.15,0.0,0.5,0.611111111111111,3.942273668360625,0.5196078431372548,2.356427630340674,0.6698316498316498,0.0,4.514963297571993,3.893845285149633,0.0,0.25,0.0,0.0,0.75,0.0,0.0,34.536993509820135,30.781760583043717,20.604167980000835,20.604167980000835,33.106293737338724,34.536993509820135,2.0,Orthodox,185.42,185.42,22.0,0.0,183.1406563273158,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,20.604167980000835,20.604167980000835,29.39583201999916,20.604167980000835,20.604167980000835,20.604167980000835
Rousimar Palhares,Ivan Salaverry,120.0,-125.0,2008-05-24,False,Submission,Middleweight,,,0.45454545454545453,0.5555555555555556,Red,1.0,Orthodox,172.72,180.34,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,182.88,,37.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,
Thiago Silva,Antonio Mendes,-621.0,561.0,2008-05-24,False,KO/TKO,Light Heavyweight,1272.5,,0.8613037447988904,0.15128593040847202,Red,3.0,Orthodox,187.96,187.96,25.0,1.0,95.55277773740193,2.0,0.0,6.24,0.0,0.25,0.5,11.072589382448538,0.5428571428571428,2.6370530877573133,0.7057086614173229,0.05417118093174431,0.8125677139761647,2.307692307692308,0.0,0.0,0.0,1.0,0.0,0.0,0.06628787878787878,33.0726821632326,20.604167980000835,33.0726821632326,30.997127189715027,31.95718123075737,25.643194977715197,1.0,Southpaw,190.5,195.58,27.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Lyoto Machida,Tito Ortiz,-170.0,170.0,2008-05-24,False,Decision - Unanimous,Light Heavyweight,1236.25,1200.0,0.6296296296296297,0.37037037037037035,Red,2.0,Southpaw,185.42,187.96,29.0,1.0,173.24116139070415,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,1.5,0.0,0.5,0.0,,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,2.0,Orthodox,190.5,187.96,33.0,0.5,227.6883835420683,1.0,0.0,,10.0,,,,,,,,,,0.0,1.0,1.5,3.5,0.5,0.5,,25.000000000000004,29.39583201999916,29.39583201999916,25.0,25.0,25.000000000000004
Goran Reljic,Wilson Gouveia,144.0,-140.0,2008-05-24,False,KO/TKO,Light Heavyweight,,1236.25,0.4098360655737705,0.5833333333333334,Red,1.0,Southpaw,190.5,205.74,24.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,Orthodox,185.42,193.04,29.0,1.0,89.09545442950498,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.5,1.5,0.0,,29.39583201999916,20.604167980000835,29.39583201999916,20.604167980000835,29.39583201999916,20.604167980000835
Wanderlei Silva,Keith Jardine,-160.0,156.0,2008-05-24,False,KO/TKO,Light Heavyweight,1162.4463638429745,1212.5,0.6153846153846154,0.390625,Red,2.0,Orthodox,180.34,187.96,31.0,0.0,103.94469683442249,0.0,1.0,,1.0,,,,,,,,,,0.0,0.0,0.0,0.5,0.0,0.0,,19.002872810284977,20.604167980000835,23.040377370369963,25.0,25.0,20.185249431998518,2.0,Orthodox,187.96,193.04,32.0,1.0,173.24116139070415,1.0,0.0,,0.0,,,,,,,,,,0.0,0.5,1.0,1.0,0.0,0.0,,29.39583201999916,25.0,29.39583201999916,25.0,25.0,25.000000000000004
BJ Penn,Sean Sherk,215.0,-221.0,2008-05-24,True,KO/TKO,Lightweight,1272.5,1236.25,0.31746031746031744,0.6884735202492211,Red,3.0,Orthodox,175.26,177.8,29.0,1.0,105.69768209379049,2.0,0.0,8.57,4.0,1.0,,5.733700697956375,0.6680691912108462,1.3118084606730527,0.5972222222222222,0.11086474501108648,3.602421548174281,2.7709359605911326,0.0,0.0,0.3333333333333333,1.3333333333333333,1.0,0.0,0.16012725344644752,33.0726821632326,29.39583201999916,33.0726821632326,33.0726821632326,31.22962902960427,33.0726821632326,2.0,Orthodox,167.64,170.18,34.0,1.0,227.6883835420683,1.0,0.0,,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,0.5,0.5,,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916
Fabricio Werdum,Brandon Vera,175.0,-180.0,2008-06-07,False,KO/TKO,Heavyweight,1232.4814888238514,1163.75,0.36363636363636365,0.6428571428571429,Red,2.0,Orthodox,193.04,195.58,30.0,1.0,98.99494936611666,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.5,0.0,0.0,,28.458390603742465,19.002872810284977,28.458390603742465,28.458390603742465,25.0,19.002872810284977,2.0,Orthodox,190.5,193.04,30.0,0.0,163.3416664540925,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,1.5,0.5,0.0,,20.604167980000835,29.39583201999916,25.000000000000004,25.0,29.39583201999916,29.39583201999916
Antoni Hardonk,Eddie Sanchez,-205.0,165.0,2008-06-07,False,KO/TKO,Heavyweight,1200.0,1268.7314888238514,0.6721311475409836,0.37735849056603776,Red,3.0,Orthodox,193.04,198.12,32.0,0.5,82.92365967161201,1.0,0.0,0.6699999999999999,0.0,,1.0,21.01558572146807,0.5238095238095238,1.7094017094017095,0.6,2.941176470588235,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.7,24.281018123234272,20.604167980000835,28.458390603742465,25.0,20.604167980000835,20.604167980000835,3.0,Orthodox,187.96,187.96,25.0,1.0,104.53229166147655,2.0,0.0,9.280000000000001,0.0,0.0,0.35,10.639892783317812,0.5320571057754705,4.1765100061331575,0.35621621621621624,0.0,0.0,1.9762396928878085,0.0,0.0,0.0,1.0,0.0,0.0,0.03142589118198874,31.95718123075737,18.04281876924262,31.95718123075737,29.39583201999916,29.39583201999916,24.954246683290606
Paul Taylor,Jess Liaudin,-206.0,200.0,2008-06-07,False,Decision - Split,Welterweight,1134.6476570099085,1203.3791458337598,0.673202614379085,0.3333333333333333,Red,3.0,Orthodox,182.88,182.88,28.0,0.0,78.88599368709251,0.0,2.0,9.57,0.0,0.3333333333333333,1.0,3.3657004830917874,0.5320987654320988,5.2318840579710155,0.4482014388489209,0.12077294685990339,1.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.07412790697674418,18.782095216284834,18.04281876924262,18.782095216284834,18.04281876924262,18.04281876924262,17.850971082089405,3.0,Orthodox,175.26,182.88,,0.5,78.88599368709251,0.0,1.0,2.57,0.0,1.0,,10.093808630393998,0.5335820895522387,3.9892120075046904,0.25,0.24390243902439027,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1513157894736842,26.22037820685826,25.0,26.22037820685826,25.0,25.0,26.090520394232307
Kevin Burns,Roan Carneiro,450.0,-450.0,2008-06-07,False,Submission,Welterweight,,,0.18181818181818182,0.8181818181818182,Red,1.0,Orthodox,177.8,187.96,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,180.34,187.96,30.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,
Matt Wiman,Thiago Tavares,361.0,-401.0,2008-06-07,False,KO/TKO,Lightweight,1297.9024336936013,1201.5608067639616,0.21691973969631237,0.8003992015968064,Red,4.0,Orthodox,177.8,172.72,24.0,1.0,61.32155684042385,3.0,0.0,6.55,0.0,0.75,0.7666666666666666,8.835032894736843,0.616442199775533,1.2834479665071772,0.6447916666666667,0.0,5.859375,5.678802830940989,0.0,0.0,0.25,0.25,0.25,0.0,0.06120527306967985,33.69252787908155,33.69252787908155,31.95718123075737,31.95718123075737,33.69252787908155,33.69252787908155,3.0,Orthodox,170.18,172.72,23.0,0.5,75.04887296511076,1.0,0.0,15.0,0.0,0.3333333333333333,0.4722222222222222,1.6333333333333333,0.3637873754152824,1.3333333333333333,0.6084280303030303,0.0,2.0,5.5,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,25.236612427707556,32.581151402028794,25.236612427707556,17.023872323332665,22.935181132962537,25.8708594657276
Martin Kampmann,Jorge Rivera,-255.0,345.0,2008-06-07,False,Submission,Middleweight,,1232.4814888238514,0.7183098591549296,0.2247191011235955,Red,1.0,Orthodox,182.88,182.88,26.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,2.0,Orthodox,185.42,185.42,36.0,1.0,98.99494936611666,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,28.458390603742465,29.814750568001497,28.458390603742465,28.458390603742465,28.458390603742465,28.458390603742465
Thales Leites,Nate Marquardt,200.0,-206.0,2008-06-07,False,Decision - Split,Middleweight,1268.7314888238514,1203.7685111761486,0.3333333333333333,0.673202614379085,Red,3.0,Orthodox,185.42,198.12,26.0,1.0,150.83876601634387,2.0,0.0,3.4850000000000003,0.0,1.0,0.7083333333333333,4.0222313709345405,0.5777777777777777,2.0135858377933302,0.5741758241758241,0.0,6.46562371346233,10.769864141622065,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,31.95718123075737,31.95718123075737,25.000000000000004,25.0,31.95718123075737,31.95718123075737,3.0,Orthodox,182.88,187.96,29.0,0.5,105.69768209379049,1.0,0.0,5.4350000000000005,1.0,0.3333333333333333,0.75,2.6881214024071167,0.5030303030303029,1.5035757892900752,0.43939393939393934,0.07849293563579278,1.1773940345368916,4.02145473574045,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.022727272727272728,25.045753316709387,25.045753316709387,25.045753316709387,29.39583201999916,31.95718123075737,31.95718123075737
Mike Swick,Marcus Davis,-108.0,110.0,2008-06-07,False,Decision - Unanimous,Welterweight,,1301.6023429900915,0.5192307692307693,0.47619047619047616,Red,1.0,Orthodox,185.42,195.58,28.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,2.0,2.0,0.0,,,,,,,,4.0,Southpaw,177.8,177.8,34.0,1.0,64.50516775163574,3.0,0.0,2.11,0.0,1.0,0.6666666666666666,8.881147033320946,0.7476190476190476,4.309426483339528,0.5017094017094017,0.6103678929765887,1.2077294685990339,1.2077294685990339,0.0,0.0,0.25,0.5,0.75,0.0,0.18425925925925926,34.536993509820135,29.39583201999916,34.536993509820135,29.39583201999916,29.39583201999916,27.003203368465854
Michael Bisping,Jason Day,-341.0,311.0,2008-06-07,False,KO/TKO,Middleweight,1235.8473723454752,1237.5536361570255,0.7732426303854876,0.24330900243309003,Red,4.0,Orthodox,185.42,190.5,29.0,0.6666666666666666,64.25145912740037,1.0,0.0,11.666666666666666,1.0,0.375,1.0,10.488888888888889,0.3800411522633745,1.8222222222222222,0.7335619824496353,0.06666666666666667,0.0,0.6666666666666666,0.0,0.25,0.0,1.0,0.0,0.0,0.08046462993271504,27.042965084585333,15.453044086677641,29.313143774219448,25.0,16.30747212091844,16.222155209414456,2.0,Orthodox,182.88,182.88,27.0,1.0,34.64823227814083,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.5,0.0,0.0,,30.997127189715027,19.002872810284977,30.997127189715027,25.0,20.604167980000835,20.185249431998518
Thiago Alves,Matt Hughes,251.0,-190.0,2008-06-07,False,KO/TKO,Welterweight,1283.6963638429745,1167.5185111761486,0.2849002849002849,0.6551724137931034,Red,4.0,Orthodox,175.26,177.8,24.0,1.0,56.110010990315565,3.0,0.0,8.093333333333334,0.0,0.47222222222222215,1.0,9.630131279695558,0.42744845360824746,2.5892296606543717,0.6883457977207977,0.09694656488549618,0.0,0.0,0.0,0.0,0.25,1.25,0.0,0.25,0.1616075917546506,35.29612943359125,22.27871630153688,30.85988193147811,25.0,21.541609396257527,21.24667734820103,2.0,Switch,175.26,185.42,34.0,0.0,113.84419177103415,0.0,1.0,,11.0,,,,,,,,,,0.0,0.0,2.0,2.5,2.0,1.0,,21.541609396257527,21.541609396257527,21.541609396257527,21.541609396257527,21.541609396257527,21.541609396257527
Rob Kimmons,Rob Yundt,-161.0,151.0,2008-06-21,False,Submission,Middleweight,,1163.75,0.6168582375478927,0.398406374501992,Red,1.0,Orthodox,177.8,185.42,27.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,Orthodox,185.42,,28.0,0.0,98.99494936611666,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,20.604167980000835,20.604167980000835,25.0,25.0,20.604167980000835,20.604167980000835
