Name,Affiliation,Born,Fighting out of
Magomed Ankalaev,Gorets FT,Russia,"Makhachkala, Russia"
Nina Ansaroff,American Top Team,"Weston, Florida","Fort Lauderdale, Florida"
Gadzhimurad Antigulov,American Top Team,Dagestan Russia,Dagestan Russia
Azunna Anyanwu,Balance Studios,United States,"Philadelphia, Pennsylvania"
Shinsho Anzai,Team Climb,"Saitama, Japan","Toshima, Tokyo, Japan"
Felipe Arantes,Chute Boxe Diego Lima,"Sao Paulo, Brazil","Newark, New Jersey"
Igor Araujo,Jackson Wink MMA,"Patos de Minas, Minas Gerais, Brazil","Albuquerque, New Mexico"
Viviane Araujo,Cerrado MMA,Brazil,"Brasilia, Federal District, Brazil"
Julio Arce,Tiger Schulmann's Mixed Martial Arts,New York,New Jersey
Andrei Arlovski,American Top Team,Belarus,"Chicago, Illinois"
Austin Arnett,Sikjitsu,United States,Washington
Akbarh Arreola,Entram Gym,"Tijuana, Mexico","Chula Vista, California"
Matt Arroyo,Gracie Tampa South,"New York, USA","New York, USA"
Antonio Arroyo,Marajó Brothers Team,Brazil,"Soure, Para, Brazil"
Cesar Arzamendia,Paraguay Combat Team,"Luque, Paraguay","Asuncion, Paraguay"
Askar Askarov,Berkut FC,Russia,"Khasavyurt, Russia"
Cyril Asker,Bushido Academie,"Sorgues, France","Nimes, France"
Scott Askham,,England,"Doncaster, South Yorkshire"
Ben Askren,Roufusport MMA Academy,"Cedar Rapids, Iowa","Phoenix, Arizona"
Tom Aspinall,Team Kaobon Liverpool,England,England
Junior Assuncao,Ascension Mixed Martial Arts,"Recife, Pernambuco, Brazil","Atlanta, Georgia"
Raphael Assuncao,Ascension Mixed Martial Arts,"Recife, Pernambuco, Brazil","Alpharetta, Georgia"
Rich Attonito,American Top Team,"Elizabeth, New Jersey, United States","Coconut Creek, Florida"
Olivier Aubin-Mercier,H2O MMA,"Montreal, Quebec, Canada","Montreal, Quebec"
Pat Audinwood,Team Bombsquad,"Corning, New York, United States","Elmira, New York"
Marcus Aurelio,,"Fortaleza, Brazil",Florida
Chris Avila,Cesar Gracie Jiu Jitsu,United States,"Stockton, California"
Julia Avila,Oklahoma martial arts academy,United States,"Oklahoma City, Oklahoma"
Jessin Ayari,Hammers Team,Germany,"Nuremberg, Germany"
Abu Azaitar,Combat Club Cologne,Germany,"Cologne, Germany"
Ottman Azaitar,Jupps Fight Team,"Cologne, Germany",Germany
Hunter Azure,MMA Lab,United States,"Phoenix, Arizona"
Niklas Backstrom,Allstars Training Center,Sweden,Sweden
Seth Baczynski,Power MMA,"Kawaii, Hawaii, United States","Apache Junction, Arizona"
Ryan Bader,Power MMA,"Reno, Nevada, United States","Tempe, Arizona"
Izabela Badurek,GKS Górnik Łęczna MMA,"Lublin, Poland","Warsaw, Poland"
Miguel Baeza,MMA Masters,United States,"Florida, United States"
Ali Bagautinov,Fight Nights Team,Dagestan Russia,Dagestan Russia
Mehdi Baghdad,Team Quest,France,California
Siyar Bahadurzada,Jackson Wink MMA,"Kabul, Afghanistan","Deventer, Netherlands"
Shamar Bailey,Integrated Fighting Academy,"Chicago, Illinois, United States","Indianapolis, Indiana"
Oluwale Bamgbose,Chute Boxe Long Beach,"Lagos, Nigeria","New York, New York"
Marcin Bandel,Zenith Vera Fight Club,"Pabianice, Poland","Łódź, Poland"
Humberto Bandenay,Team Oyama,"Lima, Peru","Lima, Peru"
Tae Hyun Bang,Korean Top Team,"Seoul, South Korea","Seoul, South Korea"
Antonio Banuelos,The Pit,"Tulare, California, United States","San Luis Obispo, California"
Renan Barao,Nova União,"Natal, Rio Grande do Norte, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
