Fighter_one,Fighter_two,Opening_Odds_f1,Closing_Odds_f1,Average_Odds_f1,Opening_Odds_f2,Closing_Odds_f2,Average_Odds_f2,Event,Date,duplicates
Aaron Ely,Jeimeson Saudino,-320,-530,-400,+240,+300,+377,Bellator 139: Kongo vs. Volkov,Jun 26th 2015,+-003477AEJSaadeeiilmnnnooorsuy
Aaron Ely,Owen Evinger,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 56,Oct 29th 2011,AEENNNNOaaaeegilnnnorrvwy
Aaron Ely,Josh Phillips,NaN,NaN,NaN,NaN,NaN,NaN,Shark Fights 19,Sep 10th 2011,AEJNNNNPaaahhiilllnooprssy
Danny Abbadi,James Orso,NaN,NaN,NaN,NaN,NaN,NaN,Fight Force: Ultimate Chaos,Jun 27th 2009,ADJNNNNOaaaaabbdeimnnorssy
David Abbott,Kimbo Slice,+255,+275,+400,-315,-480,-411,EliteXC: Street Certified,Feb 16th 2008,+-001144ADKSabbbcdeiiilmoottv
Shamil Abdurakhimov,Curtis Blaydes,+195,+320,+444,-275,-668,-450,UFC 242: Khabib vs. Poirier,Sep 7th 2019,+-044445ABCSaaabddehhiiikllmmorrsstuuvy
Shamil Abdurakhimov,Marcin Tybura,+145,+105,+130,-185,-161,-128,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 20th 2019,+-011238AMSTaaaabbcdhhiiiklmmnorrruuvy
Shamil Abdurakhimov,Andrei Arlovski,+165,-160,-125,-215,-105,+135,UFC Fight Night 136: Hunt vs. Oleinik,Sep 15th 2018,+-112355AAASaabddehhiiiikkllmmnoorrrsuvv
Shamil Abdurakhimov,Chase Sherman,-120,-145,-125,-120,+105,+120,UFC Fight Night 122: Bisping vs. Gastelum,Nov 25th 2017,+-011225ACSSaaaabdeehhhhiiklmmmnorrsuv
Shamil Abdurakhimov,Derrick Lewis,+150,+175,+216,-190,-250,-223,UFC Fight Night 102: Lewis vs. Abdurakhimov,Dec 9th 2016,+-122236ADLSaabcdeehhiiiikklmmorrrsuvw
Shamil Abdurakhimov,Walt Harris,-110,-145,-125,-130,+100,+128,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016,+-112258AHSWaaaabdhhiiikllmmorrrstuv
Shamil Abdurakhimov,Anthony Hamilton,-165,-130,+100,+125,-130,+108,UFC Fight Night 83: Cowboy vs. Cowboy,Feb 21st 2016,++000118AAHSaaabdhhhiiikllmmmnnnooorttuvy
Hiroyuki Takaya,Baataryn Azjavkhaln,-700,-700,-602,+425,+415,+448,Rizin FF 8: World Grand Prix 2nd Round,Dec 29th 2017,+-024468ABHTaaaaaaaahiijkkklnnorrtuvyyyz
Hiroyuki Takaya,Alan Omer,+175,+175,+202,-245,-270,-235,EuroFC 01: Espoo,Oct 1st 2016,+-022235AHOTaaaaeiikklmnorruyy
Hiroyuki Takaya,Daiki Hata,-245,-220,-138,+175,+108,+160,Rizin Fighting Federation 1: Day 1,Dec 29th 2015,+-011368DHHTaaaaaaiiiikkkortuyy
Hiroyuki Takaya,Georgi Karakhanyan,+110,-150,-116,-140,-110,+120,DREAM 18,Dec 31st 2012,+-011126GHKTaaaaaaaeghiiikkknnoorrruyyy
Hiroyuki Takaya,Takeshi Inoue,-120,+115,+154,-110,-184,-145,DREAM: New Year! 2011,Dec 31st 2011,+-114455HITTaaaaeehiiikkknoorsuuyy
Hiroyuki Takaya,Kazuyuki Miyata,-110,+120,+142,-120,-172,-150,DREAM 17,Jul 16th 2011,+-011245HKMTaaaaaaiiiikkkortuuuyyyyz
Hiroyuki Takaya,Robert Peralta,-245,-370,-250,+195,+204,+250,Strikeforce: Diaz vs. Daley,Apr 9th 2011,+-002255HPRTaaaaabeeiikkloorrrttuyy
Hiroyuki Takaya,Bibiano Fernandes,+200,+140,+175,-250,-215,-170,DREAM Dynamite!! 2010,Dec 31st 2010,+-011577BFHTaaaaabdeeiiiikknnnoorrsuyy
Hiroyuki Takaya,Chase Beebe,-265,-220,-190,+205,+155,+180,DREAM 16,Sep 25th 2010,+-001189BCHTaaaabeeeehiikkorsuyy
Hiroyuki Takaya,Joachim Hansen,+215,+215,+250,-275,-325,-275,DREAM 14,May 29th 2010,+-022557HHJTaaaaacehiiikkmnnoorsuyy
Hiroyuki Takaya,Michihiro Omigawa,-120,-135,-120,-110,-110,+105,FieLDS: Dynamite!! 2009,Dec 31st 2009,+-001125HMOTaaaaacghhiiiiiikkmoorruwyy
Hiroyuki Takaya,Hideo Tokoro,-220,-250,-220,+180,+180,+190,DREAM 11,Oct 6th 2009,+-001229HHTTaaadeiiikkkooooorruyy
Hiroyuki Takaya,Yoshiro Maeda,+145,+150,+163,-175,-200,-195,DREAM 9,May 26th 2009,+-113569HMTYaaaaadehiiikkooorrsuyy
Hiroyuki Takaya,Jong Won Kim,-200,-300,-175,+160,+145,+220,DREAM 7,Mar 8th 2009,+-012257HJKTWaaagiiikkmnnoooruyy
Hiroyuki Takaya,Cub Swanson,+165,+155,+180,-205,-220,-176,WEC 37: Torres vs Tapia,Dec 3rd 2008,+-011678CHSTaaaabiikknnoorsuuwyy
Hiroyuki Takaya,Leonard Garcia,-130,-115,+100,+100,-130,-106,WEC 32,Feb 13th 2008,+-000116GHLTaaaaaacdeiiikknoorrruyy
Daichi Abe,Ev Ting,NaN,NaN,NaN,NaN,NaN,NaN,ONE Championship 98: Masters of Destiny,Jul 12th 2019,ADENNNNTaaabceghiiinv
Daichi Abe,Luis Santos,NaN,NaN,NaN,NaN,NaN,NaN,ONE Championship 82: Pursuit of Greatness,Oct 26th 2018,ADLNNNNSaaaabcehiiinosstu
Daichi Abe,Li Jingliang,+240,+175,+211,-320,-260,-215,UFC Fight Night 132: Cowboy vs. Edwards,Jun 23rd 2018,+-111225ADJLaabcegghiiiiilnn
