Fighter_one,Fighter_two,Opening_Odds_f1,Closing_Odds_f1,Average_Odds_f1,Opening_Odds_f2,Closing_Odds_f2,Average_Odds_f2,Event,Date,duplicates
Daichi Abe,Luke Jumeau,-155,-175,-140,+125,+110,+145,UFC 221: Romero vs. Rockhold,Feb 10th 2018,+-011445ADJLaabceeehiikmuuu
Daichi Abe,Hyun Gyu Lim,+110,-120,+110,-150,-130,-110,UFC Fight Night 117: Saint Preux vs. Okami,Sep 22nd 2017,+-001111ADGHLabcehiiimnuuyy
Papy Abedi,Dylan Andrews,+110,-105,+101,-150,-135,-129,Superior Challenge 15,Apr 1st 2017,+-011129AADPaabddeeilnnprswyy
Papy Abedi,Bruno Carvalho,-165,-160,-154,+125,+120,+126,Superior Challenge 14,Oct 8th 2016,+-112456ABCPaaabdehilnooprruvy
Papy Abedi,Dylan Andrews,+185,+240,+285,-265,-385,-295,UFC Fight Night 27: Condit vs. Kampmann II,Aug 28th 2013,+-225589AADPaabddeeilnnprswyy
Papy Abedi,Besam Yousef,-170,-155,-120,+130,-110,+125,UFC on Fuel TV 9: Mousasi vs. Latifi,Apr 6th 2013,+-011225ABPYaabdeeefimopssuy
Papy Abedi,James Head,-370,-286,-185,+280,+160,+200,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012,+-001258AHJPaaabddeeeimpsy
Papy Abedi,Thiago Alves,+200,+240,+305,-260,-357,-333,UFC 138: Leben vs. Munoz,Nov 5th 2011,+-033335AAPTaabdeeghiilopsvy
Ricardo Abreu,Jake Collier,-210,-200,-172,+160,+135,+170,UFC Fight Night 68: Henderson vs. Boetsch,Jun 6th 2015,+-011277ACJRaabcdeeeiiklloorrru
Ricardo Abreu,Wagner Silva,-350,-350,-320,+250,+253,+290,UFC: The Ultimate Fighter Brazil 3 Finale,May 31st 2014,+-002239ARSWaaabcdeegiilnorrruv
Klidson Abreu,Jamahal Hill,+135,-105,+145,-175,-170,-116,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020,+-111456AHJKaaabdehiillllmnorsu
Klidson Abreu,Shamil Gamzatov,+190,+105,+140,-270,-177,-129,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 9th 2019,+-011249AGKSaaabdehiillmmnoorstuvz
Klidson Abreu,Sam Alvey,-150,-196,-160,+110,+125,+171,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 20th 2019,+-011167AAKSabdeeillmnorsuvy
Daniel Acacio,Alan Carlos,-405,-475,-453,+285,+325,+347,Superior Challenge X,May 3rd 2014,+-334457AACDaaaacceiilllnnoors
Daniel Acacio,Aslambek Saidov,+250,+230,+242,-350,-310,-298,KSW 25: Khalidov vs. Sakurai,Dec 7th 2013,+-222489AADSaaaabccdeeiiikllmnoosv
Daniel Acacio,Diego Gonzalez,NaN,NaN,NaN,NaN,NaN,NaN,Superior Challenge 7: Rise of Champions,Apr 30th 2011,ADDGNNNNaaaaacceeegiiillnnooozz
Daniel Acacio,David Bielkheden,NaN,NaN,NaN,NaN,NaN,NaN,Superior Challenge 6: Lion's Den,Oct 29th 2010,ABDDNNNNaaaaaccddeeeehiiiikllnnov
Daniel Acacio,Paul Daley,NaN,NaN,NaN,NaN,NaN,NaN,Impact FC 2: The Uprising,Jul 18th 2010,ADDNNNNPaaaaaacceeiilllnouy
Jon Adams,Erick Gunha,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 220: MacDonald vs. Fitch,Apr 27th 2019,AEGJNNNNaaaacdhikmnnorsu
Juan Adams,Justin Tafa,-185,-286,-250,+145,+185,+226,UFC 247: Jones vs. Reyes,Feb 8th 2020,+-022256AJJTaaaadfimnnsstuu
Juan Adams,Greg Hardy,-155,-126,-106,+115,-115,+112,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 20th 2019,+-011126AGHJaaaddegmnrrsuy
Juan Adams,Arjan Bhullar,-130,-150,-132,-110,+103,+126,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 4th 2019,+-112236AABJaaaadhjllmnnrrsuu
Juan Adams,Chris de La Rocha,-265,-550,-455,+185,+320,+415,UFC on FOX 31: Lee vs. Iaquinta 2,Dec 15th 2018,+-144555ACJLRaaaacddehhimnorssu
Juan Adams,Shawn Teed,-175,-600,-351,+135,+290,+375,Dana White's Contender Series 15,Jul 31st 2018,+-133557AJSTaaaddeehmnnsuw
Juan Adams,Brice Ritani-Coe,-280,-300,-288,+200,+220,+232,LFA 26: Odoms vs. Hughes,Nov 3rd 2017,+--222388ABCJRaaacdeeiiimnnorstu
Anthony Adams,Josh Cavan,-385,-445,-385,+265,+265,+334,LFA 57: Zalal vs. Mariscal,Jan 18th 2019,+-333458AACJaaadhhmnnnoosstvy
Anthony Adams,Chibwikem Onyenegecha,+130,+140,+165,-170,-202,-175,Dana White's Contender Series 13,Jul 17th 2018,+-115567AACOaabcdeeeeghhhiikmmnnnnostwyy
Israel Adesanya,Jon Jones,-105,+100,+100,-125,-130,-130,Future Events,,+-000113AIJJaaadeeelnnnoorsssy
Israel Adesanya,Paulo Costa,-140,-150,-150,+120,+130,+130,Future Events,,+-001135ACIPaaaaadeellnoorssstuy
Israel Adesanya,Yoel Romero,-185,-309,-250,+145,+170,+252,UFC 248: Adesanya vs. Romero,Mar 7th 2020,+-022255AIRYaaadeeeellmnooorrssy
Israel Adesanya,Robert Whittaker,+160,-141,-111,-185,-111,+120,UFC 243: Whittaker vs. Adesanya,Oct 5th 2019,+-011112AIRWaaaabdeeeehiklnorrrssttty
Israel Adesanya,Kelvin Gastelum,-220,-210,-167,+185,+145,+165,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019,+-115667AGIKaaaadeeeeilllmnnrssstuvy
Israel Adesanya,Anderson Silva,-400,-588,-435,+280,+300,+426,UFC 234: Adesanya vs. Silva,Feb 9th 2019,+-234456AAISaaaaddeeeillnnnorrsssvy
Israel Adesanya,Derek Brunson,-260,-315,-265,+180,+200,+252,UFC 230: Cormier vs. Lewis,Nov 3rd 2018,+-222556ABDIaaadeeeeklnnnorrrsssuy
Israel Adesanya,Brad Tavares,-120,-140,-109,-120,-120,+110,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,Jul 6th 2018,+-001119ABITaaaaaaddeeelnrrrsssvy
Israel Adesanya,Marvin Vettori,-260,-270,-235,+180,+190,+212,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018,+-122235AIMVaaaadeeeiilnnorrrssttvy
Israel Adesanya,Rob Wilkinson,-295,-400,-315,+230,+250,+316,UFC 221: Romero vs. Rockhold,Feb 10th 2018,+-113356AIRWaaabdeeiikllnnnoorsssy
Derrick Adkins,Alex Hernandez,NaN,NaN,NaN,NaN,NaN,NaN,LFA 27: Watley vs. Wilson,Nov 10th 2017,AADHNNNNaaacddeeeeiikklnnnrrrsxz
Derrick Adkins,Dan Moret,+135,+190,+202,-175,-270,-258,LFA 15: Odoms vs. Vanderaa,Jun 30th 2017,+-022258ADDMacdeeiikknnorrrst
Derrick Adkins,Chris Jones,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 166: Dantas vs. Warren 2,Dec 2nd 2016,ACDJNNNNaacdeehiiikknnorrrsss
Derrick Adkins,Manuel Muro,NaN,NaN,NaN,NaN,NaN,NaN,Legacy FC 62: Lovato vs. Coleman,Nov 11th 2016,ADMMNNNNaaacdeeiikklnnorrrsuu
Derrick Adkins,Daryl Wilson,NaN,NaN,NaN,NaN,NaN,NaN,Legacy FC 54: Nunes vs. Lovato,Apr 22nd 2016,ADDNNNNWaaacdeiiikkllnnorrrssy
Derrick Adkins,Jesse Chaffin,NaN,NaN,NaN,NaN,NaN,NaN,Legacy FC 45: Todhunter vs. Smith,Sep 11th 2015,ACDJNNNNaaacdeeeffhiiikknnrrsss
Nick Agallar,Jorge Masvidal,+250,+270,+300,-310,-500,-350,Bellator Fighting Championship 1,Apr 3rd 2009,+-000335AJMNaaaacdeggiiklllorrsv
Mariya Agapova,Melissa Gatto,-195,-250,-227,+170,+170,+201,UFC Fight Night,Jun 13th 2020,+-012227AGMMaaaaaaegiilooprssttvy
Mariya Agapova,Marilia Santos,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 37: Gonzalez vs. Sanchez,Oct 4th 2019,AMMNNNNSaaaaaaaaagiiilnooprrstvy
Mariya Agapova,Alexa Conners,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC: Phoenix Series 2,Sep 6th 2019,AACMNNNNaaaaaaaeegilnnooprrsvxy
Mariya Agapova,Tracy Cortez,-160,-125,+110,+120,-140,+100,Dana White's Contender Series 22,Jul 30th 2019,++000111ACMTaaaaacegiooprrrtvyyz
Mariya Agapova,Julia Borisova,NaN,NaN,NaN,NaN,NaN,NaN,Fight Nights Global 90: Mineev vs. Ismailov,Oct 19th 2018,ABJMNNNNaaaaaaaagiiiloooprrsuvvy
Daniel Aguiar,Sam Toomer,NaN,NaN,NaN,NaN,NaN,NaN,RFA 15: Casey vs. Sanchez,Jun 6th 2014,ADNNNNSTaaaaaeegiilmmnoorru
Edwin Aguilar,Yosmany Cabezas,+215,+205,+230,-275,-290,-265,Bellator Fighting Championship 3 + 4,Apr 17th 2009,+-022356ACEYaaaabdegiilmnnorssuwyz
Jessica Aguilar,Marina Rodriguez,+245,+250,+314,-335,-400,-333,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019,+-133334AJMRaaaacdeeggiiiilnorrrssuuz
Jessica Aguilar,Weili Zhang,+135,+350,+525,-175,-700,-500,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018,+-002555AJWZaaaceegghiiiillnrssu
Jessica Aguilar,Jodie Esquibel,-155,+120,+153,+115,-175,-149,UFC Fight Night 133: Dos Santos vs. Ivanov,Jul 14th 2018,+-113459AEJJaabcdeeegiiiilloqrsssuu
Jessica Aguilar,Jodie Esquibel,-215,-120,+110,+165,-140,-110,UFC Fight Night 131: Rivera vs. Moraes,Jun 1st 2018,+-001111AEJJaabcdeeegiiiilloqrsssuu
Jessica Aguilar,Cortney Casey,-120,+120,+160,-120,-190,-155,UFC 211: Miocic vs. Dos Santos 2,May 13th 2017,+-011556ACCJaaaceeegiilnorrssstuyy
Jessica Aguilar,Claudia Gadelha,+185,+285,+373,-265,-450,-370,UFC 190: Rousey vs. Correia,Aug 1st 2015,+-033377ACGJaaaaaacddeeghiiilllrssuu
Jessica Aguilar,Kalindra Faria,-385,-400,-235,+265,+195,+300,WSOF 15: Branch vs. Okami,Nov 15th 2014,+-002335AFJKaaaaaacdegiiiillnrrrssu
Jessica Aguilar,Emi Fujino,-600,-1172,-600,+400,+425,+650,WSOF 10: Branch vs. Taylor,Jun 21st 2014,+-000566AEFJaacegiiiijlmnorssuu
Jessica Aguilar,Alida Gray,-350,-450,-316,+250,+250,+300,World Series of Fighting 8: Gaethje vs. Patishnock,Jan 18th 2014,+-001336AAGJaaaacdegiiillrrssuy
Jessica Aguilar,Patricia Vidonic,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 94: Awad vs. Rickels,Mar 28th 2013,AJNNNNPVaaaaaacccdegiiiiiilnorrsstu
Jessica Aguilar,Megumi Fujii,+145,+195,+227,-175,-280,-230,Bellator Fighting Championship 69,May 18th 2012,+-022237AFJMaaceeggiiiiijlmrssuuu
Jessica Aguilar,Lisa Ward,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 58,Nov 19th 2011,AJLNNNNWaaaaaacdegiiilrrsssu
Jessica Aguilar,Carla Esparza,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 46,Jun 25th 2011,ACEJNNNNaaaaaaaacegiillprrrsssuz
Jessica Aguilar,Zoila Frausto Gurgel,+145,+160,+181,-175,-205,-190,Bellator Fighting Championship 31,Sep 30th 2010,+-011189AFGJZaaaaceeggiiillloorrrssstuuu
Jessica Aguilar,Lynn Alvarez,-310,-280,-225,+240,+185,+231,Bellator Fighting Championship 24,Aug 12th 2010,+-122235AAJLaaaceegiillnnrrssuvyz
Jessica Aguilar,Rosi Sexton,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 12,Jun 19th 2009,AJNNNNRSaaaaceegiiilnoorssstux
Kevin Aguilar,Zubaira Tukhugov,+120,-130,-106,-150,-115,+105,UFC on ESPN+ 26: Felder vs. Hooker,Feb 22nd 2020,+-001156AKTZaaabegghiiiklnorruuuuvv
Kevin Aguilar,Dan Ige,-175,-161,-135,+135,+105,+133,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019,+-113335ADIKaaeeggiilnnruv
Kevin Aguilar,Enrique Barzola,-165,+100,+120,+125,-150,-122,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019,+-011222ABEKaaaeegiiillnnoqrrruuvz
Kevin Aguilar,Rick Glenn,-165,-110,+113,+125,-140,-110,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018,+-011113AGKRaceegiiikllnnnruv
Kevin Aguilar,Joey Gomez,-265,-450,-333,+185,+240,+319,Dana White's Contender Series 12,Jul 10th 2018,+-133339AGJKaeeegiilmnooruvyz
Kevin Aguilar,Thanh Le,+150,+135,+171,-190,-205,-175,LFA 40: Aguilar vs. Le,May 25th 2018,+-111577AKLTaaeeghhiilnnruv
Kevin Aguilar,Justin Rader,-180,-190,-184,+140,+150,+156,LFA 18: Aguilar vs. Rader,Aug 4th 2017,+-114568AJKRaadeegiiilnnrrstuuv
Kevin Aguilar,Damon Jackson,+235,+210,+216,-315,-250,-244,LFA 4: Aguilar vs. Jackson,Feb 17th 2017,+-122446ADJKaaacegiiklmnnnoorsuv
Kevin Aguilar,Tony Kelley,-260,-150,-144,+180,+110,+116,Legacy FC 57: Aguilar vs. Kelley,Jul 1st 2016,+-111446AKKTaeeegiilllnnoruvyy
Kevin Aguilar,David Bosnick,NaN,NaN,NaN,NaN,NaN,NaN,Legacy FC 49: Krantz vs. Morono,Dec 4th 2015,ABDKNNNNaaaacdegiiiiklnnorsuvv
Kevin Aguilar,Alex Black,-150,-110,-104,+110,-130,-124,Legacy FC 39,Feb 27th 2015,--011244AABKaaceegiiklllnruvx
Kevin Aguilar,Leonard Garcia,-140,-335,-322,+100,+245,+258,Legacy FC 26: Garcia vs. Aguilar,Dec 6th 2013,+-222358AGKLaaaacdeegiiilnnorrruv
Kevin Aguilar,Hunter Tucker,NaN,NaN,NaN,NaN,NaN,NaN,Legacy Fighting Championship 19: Campuzano vs. Nascimento,Apr 12th 2013,AHKNNNNTaaaceeegiiklnnrrrtuuuv
Kevin Aguilar,Nick Gonzalez,-140,-116,+109,+100,-135,-124,Legacy Fighting Championship 17,Feb 1st 2013,+-011249AGKNaaceegiiikllnnoruvzz
Kevin Aguilar,Matt Hunt,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 36,Mar 12th 2011,AHKMNNNNaaaaegiilnnrtttuuv
Mike Aina,Billy Evangelista,+130,+185,+225,-160,-285,-225,Sho MMA: Aina vs Evangelista,May 15th 2009,+-222255ABEMaaaeegiiiiklllnnstvy
Mike Aina,Kaleo Kwan,NaN,NaN,NaN,NaN,NaN,NaN,EliteXC: Return Of The King,Jun 14th 2008,AKKMNNNNaaaaaeeiiklnnow
Mike Aina,Nick Diaz,+450,+500,+600,-700,-900,-750,EliteXC: Uprising,Sep 15th 2007,+-000567ADMNaaceiiiikknz
Hitomi Akano,Alexis Davis,+140,+150,+175,-170,-225,-176,Invicta FC 2,Jul 28th 2012,+-115677AADHaaeiiiiklmnoosstvx
Hitomi Akano,Sara McMann,+300,+400,+500,-400,-750,-600,ProElite 3,Jan 21st 2012,+-000056AHMMSaaaaciikmnnnoort
Hitomi Akano,Roxanne Modafferi,+135,-115,+110,-165,-140,-115,WVR Sengoku: Soul of Fight,Dec 30th 2010,+-011115AHMRaaadeeffiiikmnnnoooortx
Hitomi Akano,Carina Damm,+100,-125,-110,-130,-110,+102,Strikeforce Challengers 10,Aug 13th 2010,+-001112ACDHaaaaiiikmmmnnoort
Hitomi Akano,Cristiane Justino,+375,+335,+500,-455,-800,-485,Strikeforce: Shamrock vs Diaz,Apr 11th 2009,+-004558ACHJaaeiiiiikmnnnooorsstttu
Omari Akhmedov,Ian Heinisch,+100,-115,+110,-130,-140,-106,UFC 245: Usman vs. Covington,Dec 14th 2019,+-001116AHIOaacdeehhiiikmmnnorsv
Omari Akhmedov,Zak Cummings,-185,-135,-115,+145,-115,+115,UFC 242: Khabib vs. Poirier,Sep 7th 2019,+-111155ACOZaadeghiikkmmmmnorsuv
Omari Akhmedov,Tim Boetsch,-230,-164,-145,+170,+115,+138,UFC on ESPN+ 4: Lewis vs. Dos Santos,Mar 9th 2019,+-113458ABOTacdeehhiikmmmoorstv
Omari Akhmedov,Marvin Vettori,+185,+165,+245,-265,-300,-225,UFC 219: Cyborg vs. Holm,Dec 30th 2017,+-222455AMOVaadeehiiikmmnoorrrttvv
Omari Akhmedov,Abdul Razak Alhassan,+145,+210,+241,-185,-300,-250,UFC Fight Night 109: Gustafsson vs. Teixeira,May 28th 2017,+-012245AAAORaaaaabddehhikkllmmnorssuvz
Omari Akhmedov,Kyle Noke,-120,-150,-107,-120,-115,+120,UFC Fight Night 101: Whittaker vs. Brunson,Nov 26th 2016,+-001127AKNOadeeehikklmmoorvy
Omari Akhmedov,Elizeu Zaleski,-210,-165,-141,+160,+115,+135,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016,+-111345AEOZaadeeehiiikkllmmorsuvz
Omari Akhmedov,Sergio Moraes,-125,-160,-133,-115,+105,+128,UFC Fight Night 80: VanZant vs. Namajunas,Dec 10th 2015,+-112338AMOSaadeeeghiikmmooorrrsv
Omari Akhmedov,Brian Ebersole,-150,-145,-120,+110,-110,+122,UFC Fight Night 68: Henderson vs. Boetsch,Jun 6th 2015,+-011222ABEOaabdeeehiiklmmnoorrrsv
Omari Akhmedov,Mats Nilsson,-135,-205,-170,-105,+140,+185,UFC 182: Jones vs. Cormier,Jan 3rd 2015,+-011578AMNOaadehiiklmmnoorssstv
Omari Akhmedov,Gunnar Nelson,+190,+230,+265,-270,-357,-266,UFC Fight Night 37: Gustafsson vs. Manuwa,Mar 8th 2014,+-225666AGNOaadeehiklmmnnnoorrsuv
Omari Akhmedov,Thiago Perpetuo,-175,-250,-145,+135,+115,+170,UFC Fight Night 32: Belfort vs. Henderson,Nov 9th 2013,+-011457AOPTaadeeeghhiikmmoooprrtuv
Yoshihiro Akiyama,Sherif Mohamed,NaN,NaN,NaN,NaN,NaN,NaN,ONE Championship 109: King of the Jungle,Feb 28th 2020,AMNNNNSYaaaaadeefhhhhiiiikmmooorrsy
Yoshihiro Akiyama,Agilan Thani,NaN,NaN,NaN,NaN,NaN,NaN,ONE Championship 97: Legendary Quest,Jun 15th 2019,AANNNNTYaaaaaaghhhiiiiiklmnnoorsy
Yoshihiro Akiyama,Alberto Mina,-210,-165,-141,+160,+120,+135,UFC Fight Night 79: Henderson vs. Masvidal,Nov 28th 2015,+-111345AAMYaaabehhiiiiklmnooorrsty
Yoshihiro Akiyama,Amir Sadollah,-185,-220,-155,+145,+135,+177,UFC Fight Night 52: Hunt vs. Nelson,Sep 20th 2014,+-115577AASYaaaadhhhiiiikllmmooorrsy
Yoshihiro Akiyama,Jake Shields,+185,+260,+315,-245,-500,-326,UFC 144: Edgar vs. Henderson,Feb 25th 2012,+-123356AJSYaaadeehhhiiiikklmoorssy
Yoshihiro Akiyama,Vitor Belfort,+225,+230,+305,-285,-400,-300,UFC 133: Evans vs. Ortiz 2,Aug 6th 2011,+-000335ABVYaaefhhiiiiklmoooorrrstty
Yoshihiro Akiyama,Michael Bisping,+200,+160,+190,-280,-240,-200,UFC 120: Bisping vs. Akiyama,Oct 16th 2010,+-000129ABMYaaaceghhhiiiiiiklmnooprssy
Yoshihiro Akiyama,Chris Leben,-340,-244,-192,+260,+168,+190,UFC 116: Lesnar vs. Carwin,Jul 3rd 2010,+-011299ACLYaabeehhhiiiikmnoorrssy
Yoshihiro Akiyama,Alan Belcher,-285,-250,-205,+225,+170,+193,UFC 100,Jul 11th 2009,+-012359AABYaaaceehhhiiikllmnoorrsy
Yoshihiro Akiyama,Masanori Tonooka,-1700,-1700,-1500,+800,+800,+800,DREAM 6,Sep 23rd 2008,+-0000158AMTYaaaaahhiiiikkmnnoooooorrssy
Yoshihiro Akiyama,Katsuyori Shibata,-700,-1500,-951,+500,+650,+900,DREAM 5,Jul 21st 2008,+-001599AKSYaaaaabhhhiiiiikmooorrssttuyy
Yoshihiro Akiyama,Kazuo Misaki,-205,-250,-210,+165,+170,+210,M-1 Global: Yarennoka!,Dec 30th 2007,+-001122AKMYaaaahhiiiiikkmooorssuyz
Yoshihiro Akiyama,Denis Kang,+210,+220,+220,-260,-280,-280,K-1 Heros Korea,Oct 28th 2007,+-002228ADKYaaaeghhiiiikmnnoorssy
Rostem Akman,Jake Matthews,+185,+280,+389,-265,-500,-357,UFC 243: Whittaker vs. Adesanya,Oct 5th 2019,+-335789AJMRaaaeeehkkmmnosstttw
Rostem Akman,Sergey Khandozhko,+135,+125,+145,-175,-180,-145,UFC on ESPN+ 11: Gustafsson vs. Smith,Jun 1st 2019,+-114455AKRSaadeeeghhkkmmnnooorstyz
Rostem Akman,Juho Valamaa,NaN,NaN,NaN,NaN,NaN,NaN,Superior Challenge 19,May 11th 2019,AJNNNNRVaaaaaaaehklmmmnoostu
Razak Al-Hassan,Sabah Homasi,-265,-295,-245,+185,+190,+240,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017,+--022445AHHRSaaaaaaabhiklmnosssz
Razak Al-Hassan,Virgil Zwicker,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 137: Halsey vs. Grove,May 15th 2015,-AHNNNNRVZaaaaaacegiiikkllnrrsswz
