Name,Affiliation,Born,Fighting out of
Xavier Foupa-Pokam,Snake Team,France,"Paris, France"
Masio Fullen,N/A,"Gudalajara, Mexico",Mexico
Dave Galera,Lakay Central Gym,"Santa Clara, California","Baguio, Philippines"
Tom Gallicchio,Team Quest,United States,"Howell, New Jersey"
Ciryl Gane,MMA Factory,France,"Vircennes, France"
James Giboo,N/A,N/A,GB
Gregor Gillespie,Long Island MMA,United States,"Long Island, New York"
Jason Gilliam,Team Wolfpack,United States,"Muncie, Indiana"
Jason Gonzalez,Millennia MMA,"Torrance, California, United States","Rancho Cucamonga, California"
Chase Gormley,Reign MMA,United States,"Los Angeles, California"
Wilson Gouveia,American Top Team,Brazil,"Fort Lauderdale, Florida"
Mike Grundy,Team Kaobon Liverpool,England,"Manchester, England"
John Gunderson,Xtreme Couture,"Medford, Oregon, United States","Las Vegas, Nevada"
Tim Hague,Complete Fitness and Martial Arts,Canada,Canada
Dennis Hallman,AMC Pankration,"Yelm, Washington, United States","Yelm, Washington"
Antoni Hardonk,Vos Gym,Netherlands,"Weesp, Holland"
Phil Harris,South Coast Submissions,"Portsmouth, England","Portsmouth, England"
Dale Hartt,Sityodtong Boston,United States,"Bangor, Maine"
John Hathaway,London Shootfighters,"Brighton, Sussex, England","Brighton, Sussex, England"
David Heath,Absolute Combat Alliance,"Nowata, Oklahoma, United States","Tulsa, Oklahoma"
Richie Hightower,N/A,United States,"Phoenix, Arizona, USA"
Corey Hill,Team TCH MMA,USA,USA
Angela Hill,Alliance MMA,United States,"New York City, New York"
Chris Holdsworth,Team Alpha Male,United States,"Las Vegas, Nevada"
Rex Holman,N/A,United States,"Columbus, Ohio"
Matt Horwich,10th Planet Jiu Jitsu,"Pasadena, California, United States","Hollywood, California"
Brian Houston,Disorderly Conduct,"Riverdale, Georgia","Omaha, Nebraska"
Carlos Huachin,Pitbull Martial Arts Center,Peru,"Lima, Peru"
Nassourdine Imavov,MMA Factory,"Dagestan, Russia","Salon-de-Provence, France"
Brad Imes,N/A,United States,"Sacramento, California"
Ryan Jimmo,Hayabusa Training Centre,Canada,Canada
Ivan Jorge,Ataque Duplo,"Florianopolis, Santa Catarina, Brazil","Florianopolis, Santa Catarina, Brazil"
Da-Un Jung,Korean Top Team,South Korea,"Daegu, South Korea"
Bharat Kandare,Superhuman Gym,India,"Maharashtra, India"
David Kaplan,N/A,United States,"Las Vegas, Nevada"
Katsunori Kikuno,ALLIANCE,Japan,Japan
Jeremy Kimball,Shingitai Jujitsu,"Burlington, Vermont","Colorado Springs, Colorado"
Nikita Krylov,YK Promotion,"Donetsk, Ukraine","Donetsk, Ukraine"
Michael Kuiper,Perfect Team,"Rotterdam, Netherlands","Tilburg, Netherlands"
Jason Lambert,Alliance MMA,United States,"Carlsbad, California"
Nate Landwehr,SSF Submission Academy,United States,"Clarksville, Tennessee"
Mounir Lazzez,Team Nogueira Dubai,Tunisia,Dubai
