Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC on ABC: Vettori vs. Holland,2021-04-10 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-abc-2-vettori-vs-holland-2061,1,Ultimate Fighting Championship
UFC 260,2021-03-27 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/search?query=UFC%20260,1,Ultimate Fighting Championship
UFC on ESPN: Brunson vs. Holland,2021-03-20 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-21-brunson-vs-holland-2053,1,Ultimate Fighting Championship
UFC Fight Night: Edwards vs. Muhammad,2021-03-13 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048,1,Ultimate Fighting Championship
UFC 259,2021-03-06 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,"800,000",https://www.bestfightodds.com/search?query=UFC%20259,1,Ultimate Fighting Championship
UFC Fight Night: Rozenstruik vs. Gane,2021-02-27 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039,1,Ultimate Fighting Championship
UFC Fight Night: Blaydes vs. Lewis,2021-02-20 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035,1,Ultimate Fighting Championship
UFC 258,2021-02-13 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/search?query=UFC%20258,1,Ultimate Fighting Championship
UFC Fight Night: Overeem vs. Volkov,2021-02-06 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029,1,Ultimate Fighting Championship
UFC 257,2021-01-24 00:00:00,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,600",,"1,504,737",https://www.bestfightodds.com/search?query=UFC%20257,1,Ultimate Fighting Championship
UFC on ESPN: Chiesa vs. Magny,2021-01-20 00:00:00,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,000",,,https://www.bestfightodds.com/events/ufc-on-espn-20-chiesa-vs-magny-2044,1,Ultimate Fighting Championship
UFC on ABC: Holloway vs. Kattar,2021-01-16 00:00:00,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,000",,,https://www.bestfightodds.com/events/ufc-on-abc-1-holloway-vs-kattar-2009,1,Ultimate Fighting Championship
UFC Fight Night: Thompson vs. Neal,2020-12-19 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000,1,Ultimate Fighting Championship
UFC 256,2020-12-12 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/search?query=UFC%20256,1,Ultimate Fighting Championship
UFC on ESPN: Hermansson vs. Vettori,2020-12-05 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-19-hermansson-vs-vettori-1982,1,Ultimate Fighting Championship
UFC on ESPN: Smith vs. Clark,2020-11-28 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-18-smith-vs-clark-1979,1,Ultimate Fighting Championship
UFC 255,2020-11-21 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/search?query=UFC%20255,1,Ultimate Fighting Championship
