Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC on ESPN: Barboza vs. Gaethje,2019-03-30 00:00:00,Wells Fargo Center,"Philadelphia, Pennsylvania","11,123","$1,102,542.16",,https://www.bestfightodds.com/events/ufc-on-espn-2-barboza-vs-gaethje-1648,1,Ultimate Fighting Championship
UFC Fight Night: Thompson vs. Pettis,2019-03-23 00:00:00,Bridgestone Arena,"Nashville, Tennessee","10,863","$939,095.99",,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654,1,Ultimate Fighting Championship
UFC Fight Night: Till vs. Masvidal,2019-03-16 00:00:00,The O2 Arena,"London, England","16,602","$2,400,000",,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626,1,Ultimate Fighting Championship
UFC Fight Night: Lewis vs. dos Santos,2019-03-09 00:00:00,Intrust Bank Arena,"Wichita, Kansas","7,265","$636,417",,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639,1,Ultimate Fighting Championship
UFC 235,2019-03-02 00:00:00,T-Mobile Arena,"Paradise, Nevada","14,790","$4,035,156.50",,https://www.bestfightodds.com/search?query=UFC%20235,1,Ultimate Fighting Championship
UFC Fight Night: Błachowicz vs. Santos,2019-02-23 00:00:00,O2 Arena,"Prague, Czech Republic","16,583","$1,606,176",,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638,1,Ultimate Fighting Championship
UFC on ESPN: Ngannou vs. Velasquez,2019-02-17 00:00:00,Talking Stick Resort Arena,"Phoenix, Arizona","14,269","$1,400,000",,https://www.bestfightodds.com/events/ufc-on-espn-1-ngannou-vs-velasquez-1637,1,Ultimate Fighting Championship
UFC 234,2019-02-10 00:00:00,Rod Laver Arena,"Melbourne, Australia","15,238","$2,470,088","175,000",https://www.bestfightodds.com/search?query=UFC%20234,1,Ultimate Fighting Championship
UFC Fight Night: Assunção vs. Moraes 2,2019-02-02 00:00:00,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","10,040",,,https://www.bestfightodds.com/events/ufc-on-espn-2-assuncao-vs-moraes-2-1628,1,Ultimate Fighting Championship
UFC 233,2019-01-26 00:00:00,Honda Center,"Anaheim, California",,,,,1,Ultimate Fighting Championship
UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19 00:00:00,Barclays Center,"Brooklyn, New York","12,152","$1,230,000",,https://www.bestfightodds.com/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623,1,Ultimate Fighting Championship
UFC 232,2018-12-29 00:00:00,The Forum,"Inglewood, California","15,862","$2,066,604","700,000",https://www.bestfightodds.com/search?query=UFC%20232,1,Ultimate Fighting Championship
UFC on Fox: Lee vs. Iaquinta 2,2018-12-15 00:00:00,Fiserv Forum,"Milwaukee, Wisconsin","9,010 ","$616,633",,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587,1,Ultimate Fighting Championship
UFC 231,2018-12-08 00:00:00,Scotiabank Arena,"Toronto, Ontario, Canada","19,039","$2,400,000","300,000",https://www.bestfightodds.com/search?query=UFC%20231,1,Ultimate Fighting Championship
UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02 00:00:00,Adelaide Entertainment Centre,"Adelaide, Australia","8,652","$1,026,937",,https://www.bestfightodds.com/events/ufc-fight-night-142-dos-santos-vs-tuivasa-1574,1,Ultimate Fighting Championship
UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24 00:00:00,Cadillac Arena,"Beijing, China","10,302",,,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579,1,Ultimate Fighting Championship
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17 00:00:00,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina","10,245",,,https://www.bestfightodds.com/events/ufc-fight-night-140-magny-vs-ponzinibbio-1578,1,Ultimate Fighting Championship
UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10 00:00:00,Pepsi Center,"Denver, Colorado","11,426","$946,706",,https://www.bestfightodds.com/events/ufc-fight-night-139-korean-zombie-vs-rodriguez-1559,1,Ultimate Fighting Championship
UFC 230,2018-11-03 00:00:00,Madison Square Garden,"New York City, New York","17,011","$2,841,718","250,000",https://www.bestfightodds.com/search?query=UFC%20230,1,Ultimate Fighting Championship
UFC Fight Night: Volkan vs. Smith,2018-10-27 00:00:00,Avenir Centre,"Moncton, New Brunswick, Canada","6,282","$528,211",,https://www.bestfightodds.com/events/ufc-fight-night-138-volkan-vs-smith-1564,1,Ultimate Fighting Championship
UFC 229,2018-10-06 00:00:00,T-Mobile Arena,"Paradise, Nevada","20,034","$17,188,894.67","2,400,000[3]",https://www.bestfightodds.com/search?query=UFC%20229,1,Ultimate Fighting Championship
UFC Fight Night: Santos vs. Anders,2018-09-22 00:00:00,Ginásio do Ibirapuera,"São Paulo, Brazil","9,485",,,https://www.bestfightodds.com/events/ufc-fight-night-137-santos-vs-anders-1544,1,Ultimate Fighting Championship
UFC Fight Night: Hunt vs. Oleinik,2018-09-15 00:00:00,Olimpiyskiy Stadium,"Moscow, Russia","22,603","$1,840,000",,https://www.bestfightodds.com/events/ufc-fight-night-136-hunt-vs-oleinik-1539,1,Ultimate Fighting Championship
UFC 228,2018-09-08 00:00:00,American Airlines Center,"Dallas, Texas","14,073","$1,700,000","130,000",https://www.bestfightodds.com/search?query=UFC%20228,1,Ultimate Fighting Championship
UFC Fight Night: Gaethje vs. Vick,2018-08-25 00:00:00,Pinnacle Bank Arena,"Lincoln, Nebraska","6,409","$478,337",,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528,1,Ultimate Fighting Championship
UFC 227,2018-08-04 00:00:00,Staples Center,"Los Angeles, California","17,794","$2,850,000","300,000",https://www.bestfightodds.com/search?query=UFC%20227,1,Ultimate Fighting Championship
UFC on Fox: Alvarez vs. Poirier 2,2018-07-28 00:00:00,Scotiabank Saddledome,"Calgary, Alberta, Canada","10,603","$1.300,000",,https://www.bestfightodds.com/events/ufc-on-fox-30-alvarez-vs-poirier-2-1502,1,Ultimate Fighting Championship
UFC Fight Night: Shogun vs. Smith,2018-07-22 00:00:00,Barclaycard Arena,"Hamburg, Germany","7,798","$750,000",,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507,1,Ultimate Fighting Championship
UFC Fight Night: dos Santos vs. Ivanov,2018-07-14 00:00:00,CenturyLink Arena,"Boise, Idaho","5,648","$591,575",,https://www.bestfightodds.com/events/ufc-fight-night-133-dos-santos-vs-ivanov-1504,1,Ultimate Fighting Championship
UFC 226,2018-07-07 00:00:00,T-Mobile Arena,"Paradise, Nevada","17,464 ","$5,677,238.21","380,000",https://www.bestfightodds.com/search?query=UFC%20226,1,Ultimate Fighting Championship
UFC Fight Night: Cowboy vs. Edwards,2018-06-23 00:00:00,Singapore Indoor Stadium,Singapore,"6,419",,,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475,1,Ultimate Fighting Championship
UFC 225,2018-06-09 00:00:00,United Center,"Chicago, Illinois","18,117","$2,550,000","250,000",https://www.bestfightodds.com/search?query=UFC%20225,1,Ultimate Fighting Championship
UFC Fight Night: Rivera vs. Moraes,2018-06-01 00:00:00,Adirondack Bank Center,"Utica, New York","5,063","$322,825 ",,https://www.bestfightodds.com/events/ufc-fight-night-131-rivera-vs-moraes-1467,1,Ultimate Fighting Championship
UFC Fight Night: Thompson vs. Till,2018-05-27 00:00:00,Echo Arena,"Liverpool, England","8,520","$1,300,000",,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478,1,Ultimate Fighting Championship
UFC Fight Night: Maia vs. Usman,2018-05-19 00:00:00,Movistar Arena,"Santiago, Chile","11,082",,,https://www.bestfightodds.com/events/ufc-fight-night-129-maia-vs-usman-1468,1,Ultimate Fighting Championship
UFC 224,2018-05-12 00:00:00,Jeunesse Arena,"Rio de Janeiro, Brazil","10,696",,"85,000",https://www.bestfightodds.com/search?query=UFC%20224,1,Ultimate Fighting Championship
UFC Fight Night: Barboza vs. Lee,2018-04-21 00:00:00,Boardwalk Hall,"Atlantic City, New Jersey","9,541","$923,720",,https://www.bestfightodds.com/events/ufc-fight-night-128-barboza-vs-lee-1455,1,Ultimate Fighting Championship
UFC on Fox: Poirier vs. Gaethje,2018-04-14 00:00:00,Gila River Arena,"Glendale, Arizona","11,382","$1,085,712.25",,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446,1,Ultimate Fighting Championship
UFC 223,2018-04-07 00:00:00,Barclays Center,"Brooklyn, New York","17,026","$3,007,108","350,000",https://www.bestfightodds.com/search?query=UFC%20223,1,Ultimate Fighting Championship
UFC Fight Night: Werdum vs. Volkov,2018-03-17 00:00:00,The O2 Arena,"London, England","16,274",,,https://www.bestfightodds.com/events/ufc-fight-night-127-werdum-vs-volkov-1423,1,Ultimate Fighting Championship
UFC 222,2018-03-03 00:00:00,T-Mobile Arena,"Paradise, Nevada","12,041","$1,367,672","260,000",https://www.bestfightodds.com/search?query=UFC%20222,1,Ultimate Fighting Championship
UFC on Fox: Emmett vs. Stephens,2018-02-24 00:00:00,Amway Center,"Orlando, Florida","10,124","$1,064,303.50",,https://www.bestfightodds.com/events/ufc-on-fox-28-stephens-vs-emmett-1425,1,Ultimate Fighting Championship
UFC Fight Night: Cowboy vs. Medeiros,2018-02-18 00:00:00,Frank Erwin Center,"Austin, Texas","10,502","$794,350",,https://www.bestfightodds.com/events/ufc-fight-night-126-cerrone-vs-medeiros-1412,1,Ultimate Fighting Championship
UFC 221,2018-02-11 00:00:00,Perth Arena,"Perth, Western Australia","12,437","$2,810,520","130,000",https://www.bestfightodds.com/search?query=UFC%20221,1,Ultimate Fighting Championship
UFC Fight Night: Machida vs. Anders,2018-02-03 00:00:00,Arena Guilherme Paraense,"Belém, Brazil","10,144 ",,,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418,1,Ultimate Fighting Championship
UFC on Fox: Jacaré vs. Brunson 2,2018-01-27 00:00:00,Spectrum Center,"Charlotte, North Carolina, U.S","10,249","$944,202",,https://www.bestfightodds.com/events/ufc-on-fox-27-jacare-vs-brunson-2-1413,1,Ultimate Fighting Championship
UFC 220,2018-01-20 00:00:00,TD Garden,"Boston, Massachusetts","16,015 ","$2,450,000","350,000",https://www.bestfightodds.com/search?query=UFC%20220,1,Ultimate Fighting Championship
UFC Fight Night: Stephens vs. Choi,2018-01-14 00:00:00,Scottrade Center,"St. Louis, Missouri, U.S.","10,052","$812,995",,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408,1,Ultimate Fighting Championship
UFC 219,2017-12-30 00:00:00,T-Mobile Arena,"Paradise, Nevada","13,561","$1,760,628.74","380,000",https://www.bestfightodds.com/search?query=UFC%20219,1,Ultimate Fighting Championship
UFC on Fox: Lawler vs. dos Anjos,2017-12-16 00:00:00,Bell MTS Place,"Winnipeg, Canada","8,862","$781,359",,https://www.bestfightodds.com/events/ufc-on-fox-26-lawler-vs-dos-anjos-1365,1,Ultimate Fighting Championship
UFC Fight Night: Swanson vs. Ortega,2017-12-09 00:00:00,Save Mart Center,"Fresno, California","7,605","$568,290",,https://www.bestfightodds.com/events/ufc-fight-night-123-swanson-vs-ortega-1386,1,Ultimate Fighting Championship
UFC 218,2017-12-02 00:00:00,Little Caesars Arena,"Detroit, Michigan","17,587","$2,000,000","230,000",https://www.bestfightodds.com/search?query=UFC%20218,1,Ultimate Fighting Championship
UFC Fight Night: Bisping vs. Gastelum,2017-11-25 00:00:00,Mercedes Benz Arena,"Shanghai, China","15,128",,,https://www.bestfightodds.com/events/ufc-fight-night-122-bisping-vs-gastelum-1363,1,Ultimate Fighting Championship
UFC Fight Night: Werdum vs. Tybura,2017-11-19 00:00:00,Qudos Bank Arena,"Sydney, Australia","10,021",,,https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354,1,Ultimate Fighting Championship
UFC Fight Night: Poirier vs. Pettis,2017-11-11 00:00:00,Ted Constant Convocation Center,"Norfolk, Virginia","8,442","$642,070",,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353,1,Ultimate Fighting Championship
UFC 217,2017-11-04 00:00:00,Madison Square Garden,"New York City, New York","18,201","$6,200,000","875,000",https://www.bestfightodds.com/search?query=UFC%20217,1,Ultimate Fighting Championship
UFC Fight Night: Brunson vs. Machida,2017-10-28 00:00:00,Ginásio do Ibirapuera,"São Paulo, Brazil","10,265",,,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352,1,Ultimate Fighting Championship
UFC Fight Night: Cowboy vs. Till,2017-10-21 00:00:00,Ergo Arena,"Gdańsk, Poland","11,138","$677,000",,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356,1,Ultimate Fighting Championship
UFC 216,2017-10-07 00:00:00,T-Mobile Arena,"Paradise, Nevada","10,638","$677,999.50","200,000",https://www.bestfightodds.com/search?query=UFC%20216,1,Ultimate Fighting Championship
UFC Fight Night: Saint Preux vs. Okami,2017-09-23 00:00:00,Saitama Super Arena,"Saitama, Japan","8,571",,,https://www.bestfightodds.com/events/ufc-fight-night-117-saint-preux-vs-okami-1332,1,Ultimate Fighting Championship
UFC Fight Night: Rockhold vs. Branch,2017-09-16 00:00:00,PPG Paints Arena,"Pittsburgh, Pennsylvania","7,005","$396,190.75",,https://www.bestfightodds.com/events/ufc-fight-night-116-rockhold-vs-branch-1343,1,Ultimate Fighting Championship
UFC 215,2017-09-09 00:00:00,Rogers Place,"Edmonton, Alberta, Canada","16,232","$2,028,307","100,000",https://www.bestfightodds.com/search?query=UFC%20215,1,Ultimate Fighting Championship
UFC Fight Night: Volkov vs. Struve,2017-09-02 00:00:00,Rotterdam Ahoy,"Rotterdam, Netherlands","10,224","$900,000",,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310,1,Ultimate Fighting Championship
UFC Fight Night: Pettis vs. Moreno,2017-08-05 00:00:00,Arena Ciudad de México,"Mexico City, Mexico","10,172",,,https://www.bestfightodds.com/events/ufc-fight-night-114-pettis-vs-moreno-1307,1,Ultimate Fighting Championship
UFC 214,2017-07-29 00:00:00,Honda Center,"Anaheim, California","16,610","$2,448,870","860,000",https://www.bestfightodds.com/search?query=UFC%20214,1,Ultimate Fighting Championship
UFC on Fox: Weidman vs. Gastelum,2017-07-22 00:00:00,Nassau Veterans Memorial Coliseum,"Uniondale, New York","11,918","$1,088,332",,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292,1,Ultimate Fighting Championship
UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16 00:00:00,The SSE Hydro,"Glasgow, Scotland","10,589","$1,200,000",,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293,1,Ultimate Fighting Championship
UFC 213,2017-07-08 00:00:00,T-Mobile Arena,"Paradise, Nevada","12,834","$2,400,000","150,000",https://www.bestfightodds.com/search?query=UFC%20213,1,Ultimate Fighting Championship
UFC Fight Night: Chiesa vs. Lee,2017-06-25 00:00:00,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","7,605","$549,302",,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276,1,Ultimate Fighting Championship
UFC Fight Night: Holm vs. Correia,2017-06-17 00:00:00,Singapore Indoor Stadium,Singapore,"8,414","$839,300",,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277,1,Ultimate Fighting Championship
UFC Fight Night: Lewis vs. Hunt,2017-06-11 00:00:00,Spark Arena,"Auckland, New Zealand","8,649","$1,150,428 NZD",,https://www.bestfightodds.com/events/ufc-fight-night-110-lewis-vs-hunt-1275,1,Ultimate Fighting Championship
UFC 212,2017-06-03 00:00:00,Jeunesse Arena,"Rio de Janeiro, Brazil","15,412",,,https://www.bestfightodds.com/search?query=UFC%20212,1,Ultimate Fighting Championship
UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28 00:00:00,Ericsson Globe,"Stockholm, Sweden","12,668","$1,920,000",,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265,1,Ultimate Fighting Championship
UFC 211,2017-05-13 00:00:00,American Airlines Center,"Dallas, Texas","17,834","$2,662,645",,https://www.bestfightodds.com/search?query=UFC%20211,1,Ultimate Fighting Championship
UFC Fight Night: Swanson vs. Lobov,2017-04-22 00:00:00,Bridgestone Arena,"Nashville, Tennessee","10,144","$755,180",,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258,1,Ultimate Fighting Championship
UFC on Fox: Johnson vs. Reis,2017-04-15 00:00:00,Sprint Center,"Kansas City, Missouri","12,171","$1,081,193 ",,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259,1,Ultimate Fighting Championship
UFC 210,2017-04-08 00:00:00,KeyBank Center,"Buffalo, New York","17,110","$2,000,000 ","300,000",https://www.bestfightodds.com/search?query=UFC%20210,1,Ultimate Fighting Championship
UFC Fight Night: Manuwa vs. Anderson,2017-03-18 00:00:00,The O2 Arena,"London, England","15,761","$2,015,777",,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246,1,Ultimate Fighting Championship
UFC Fight Night: Belfort vs. Gastelum,2017-03-11 00:00:00,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","14,069",,,https://www.bestfightodds.com/events/ufc-fight-night-106-belfort-vs-gastelum-1231,1,Ultimate Fighting Championship
UFC 209,2017-03-04 00:00:00,T-Mobile Arena,"Paradise, Nevada","13,150","$2,385,230",,https://www.bestfightodds.com/search?query=UFC%20209,1,Ultimate Fighting Championship
UFC Fight Night: Lewis vs. Browne,2017-02-19 00:00:00,Scotiabank Centre,"Halifax, Nova Scotia, Canada","8,123","$575,832",,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228,1,Ultimate Fighting Championship
UFC 208,2017-02-11 00:00:00,Barclays Center,"Brooklyn, New York","15,628","$2,275,105",,https://www.bestfightodds.com/search?query=UFC%20208,1,Ultimate Fighting Championship
UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04 00:00:00,Toyota Center,"Houston, Texas","8,119","$611,133",,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226,1,Ultimate Fighting Championship
UFC on Fox: Shevchenko vs. Peña,2017-01-28 00:00:00,Pepsi Center,"Denver, Colorado","13,233","$1,020,434",,https://www.bestfightodds.com/events/ufc-on-fox-23-shevchenko-vs-pena-1225,1,Ultimate Fighting Championship
UFC Fight Night: Rodríguez vs. Penn,2017-01-15 00:00:00,Talking Stick Resort Arena,"Phoenix, Arizona","11,589","$913,372.75",,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219,1,Ultimate Fighting Championship
UFC 207,2016-12-30 00:00:00,T-Mobile Arena,"Paradise, Nevada","18,533","$4,750,000","1,100,000",https://www.bestfightodds.com/search?query=UFC%20207,1,Ultimate Fighting Championship
UFC on Fox: VanZant vs. Waterson,2016-12-17 00:00:00,Golden 1 Center,"Sacramento, California","10,525","$1,238,992",,https://www.bestfightodds.com/events/ufc-on-fox-22-vanzant-vs-waterson-1207,1,Ultimate Fighting Championship
UFC 206,2016-12-10 00:00:00,Air Canada Centre,"Toronto, Ontario, Canada","18,057","$1,843,101",,https://www.bestfightodds.com/search?query=UFC%20206,1,Ultimate Fighting Championship
UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09 00:00:00,Times Union Center,"Albany, New York","6,216","$411,000",,https://www.bestfightodds.com/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203,1,Ultimate Fighting Championship
UFC Fight Night: Whittaker vs. Brunson,2016-11-27 00:00:00,Rod Laver Arena,"Melbourne, Australia","13,721","2,200,000 AUD",,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191,1,Ultimate Fighting Championship
UFC Fight Night: Bader vs. Nogueira 2,2016-11-19 00:00:00,Ginásio do Ibirapuera,"São Paulo, Brazil","9,028",,,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,1,Ultimate Fighting Championship
UFC Fight Night: Mousasi vs. Hall 2,2016-11-19 00:00:00,The SSE Arena,"Belfast, Northern Ireland","7,222","$850,000",,https://www.bestfightodds.com/events/ufc-fight-night-99-mousasi-vs-hall-2-1184,1,Ultimate Fighting Championship
UFC 205,2016-11-12 00:00:00,Madison Square Garden,"New York City, U.S.","20,427","$17,700,000","1,300,000",https://www.bestfightodds.com/search?query=UFC%20205,1,Ultimate Fighting Championship
UFC Fight Night: Lamas vs. Penn,2016-10-15 00:00:00,Mall of Asia Arena,"Pasay, Philippines",,,,,1,Ultimate Fighting Championship
UFC 204,2016-10-08 00:00:00,Manchester Arena,"Manchester, England","16,000","$1,960,000","290,000 ",https://www.bestfightodds.com/search?query=UFC%20204,1,Ultimate Fighting Championship
UFC Fight Night: Lineker vs. Dodson,2016-10-01 00:00:00,Moda Center,"Portland, Oregon","6,240","$501,035",,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165,1,Ultimate Fighting Championship
UFC Fight Night: Cyborg vs. Länsberg,2016-09-24 00:00:00,Ginásio Nilson Nelson,"Brasília, Brazil","8,410",,,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167,1,Ultimate Fighting Championship
UFC Fight Night: Poirier vs. Johnson,2016-09-17 00:00:00,State Farm Arena,"Hidalgo, Texas","5,624","$323,419",,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160,1,Ultimate Fighting Championship
UFC 203,2016-09-10 00:00:00,Quicken Loans Arena,"Cleveland, Ohio","18,875","$2,600,000","450,000",https://www.bestfightodds.com/search?query=UFC%20203,1,Ultimate Fighting Championship
UFC Fight Night: Arlovski vs. Barnett,2016-09-03 00:00:00,Barclaycard Arena,"Hamburg, Germany","11,763","$913,428",,https://www.bestfightodds.com/events/ufc-fight-night-93-arlovski-vs-barnett-1139,1,Ultimate Fighting Championship
UFC on Fox: Maia vs. Condit,2016-08-27 00:00:00,Rogers Arena,"Vancouver, British Columbia, Canada","10,533","C$995,624",,https://www.bestfightodds.com/events/ufc-on-fox-21-maia-vs-condit-1150,1,Ultimate Fighting Championship
UFC 202,2016-08-20 00:00:00,T-Mobile Arena,"Paradise, Nevada","15,539","$7,700,810","1,650,000[3]",https://www.bestfightodds.com/search?query=UFC%20202,1,Ultimate Fighting Championship
UFC Fight Night: Rodríguez vs. Caceres,2016-08-06 00:00:00,Vivint Arena,"Salt Lake City, Utah","6,689","$481,033",,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146,1,Ultimate Fighting Championship
UFC 201,2016-07-30 00:00:00,Philips Arena,"Atlanta, Georgia","10,240","$1,070,000","240,000",https://www.bestfightodds.com/search?query=UFC%20201,1,Ultimate Fighting Championship
UFC on Fox: Holm vs. Shevchenko,2016-07-23 00:00:00,United Center,"Chicago, Illinois","10,287","$1,000,000",,https://www.bestfightodds.com/events/ufc-on-fox-20-holm-vs-shevchenko-1114,1,Ultimate Fighting Championship
UFC Fight Night: McDonald vs. Lineker,2016-07-13 00:00:00,Denny Sanford Premier Center,"Sioux Falls, South Dakota","5,671","$381,945",,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120,1,Ultimate Fighting Championship
UFC 200,2016-07-09 00:00:00,T-Mobile Arena,"Paradise, Nevada","18,202","$10,700,000","1,009,000[3]",https://www.bestfightodds.com/search?query=UFC%20200,1,Ultimate Fighting Championship
UFC Fight Night: dos Anjos vs. Alvarez,2016-07-07 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","7,760","$690,526",,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118,1,Ultimate Fighting Championship
UFC Fight Night: MacDonald vs. Thompson,2016-06-18 00:00:00,TD Place Arena,"Ottawa, Ontario, Canada","10,490","$1,278,250",,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098,1,Ultimate Fighting Championship
UFC 199,2016-06-04 00:00:00,The Forum,"Inglewood, California","15,587","$2,168,675","283,000-320,000[3]",https://www.bestfightodds.com/search?query=UFC%20199,1,Ultimate Fighting Championship
UFC Fight Night: Almeida vs. Garbrandt,2016-05-29 00:00:00,Mandalay Bay Events Center,"Las Vegas, Nevada","5,193","$359,000",,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104,1,Ultimate Fighting Championship
UFC 198,2016-05-14 00:00:00,Arena da Baixada,"Curitiba, Brazil","45,207",,"217,000[3]",https://www.bestfightodds.com/search?query=UFC%20198,1,Ultimate Fighting Championship
UFC Fight Night: Overeem vs. Arlovski,2016-05-08 00:00:00,Rotterdam Ahoy,"Rotterdam, Netherlands","10,421","$1,523,320",,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088,1,Ultimate Fighting Championship
UFC 197,2016-04-23 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","11,352 ","$2,300,000","322,000[3]",https://www.bestfightodds.com/search?query=UFC%20197,1,Ultimate Fighting Championship
UFC on Fox: Teixeira vs. Evans,2016-04-16 00:00:00,Amalie Arena,"Tampa, Florida","11,273","$1,057,000",,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073,1,Ultimate Fighting Championship
UFC Fight Night: Rothwell vs. dos Santos,2016-04-10 00:00:00,Arena Zagreb,"Zagreb, Croatia","13,177","$549,000",,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077,1,Ultimate Fighting Championship
UFC Fight Night: Hunt vs. Mir,2016-03-20 00:00:00,Brisbane Entertainment Centre,"Brisbane, Australia","9,552","$1,000,000",,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062,1,Ultimate Fighting Championship
UFC 196,2016-03-05 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","14,898","$8,197,628","1,317,000[3]",https://www.bestfightodds.com/search?query=UFC%20196,1,Ultimate Fighting Championship
UFC Fight Night: Silva vs. Bisping,2016-02-27 00:00:00,The O2 Arena,"London, England","16,734","$2,000,000",,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052,1,Ultimate Fighting Championship
UFC Fight Night: Cowboy vs. Cowboy,2016-02-21 00:00:00,Consol Energy Center,"Pittsburgh, Pennsylvania","7,330","$572,547",,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057,1,Ultimate Fighting Championship
UFC Fight Night: Hendricks vs. Thompson,2016-02-06 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","7,422","$1,435,000",,https://www.bestfightodds.com/events/ufc-fight-night-82-hendricks-vs-thompson-1056,1,Ultimate Fighting Championship
UFC on Fox: Johnson vs. Bader,2016-01-30 00:00:00,Prudential Center,"Newark, New Jersey","10,555","$818,000",,https://www.bestfightodds.com/events/ufc-on-fox-18-johnson-vs-bader-1038,1,Ultimate Fighting Championship
UFC Fight Night: Dillashaw vs. Cruz,2016-01-17 00:00:00,TD Garden,"Boston, Massachusetts","12,790","$1,300,000",,https://www.bestfightodds.com/events/ufc-fight-night-81-dillashaw-vs-cruz-1022,1,Ultimate Fighting Championship
UFC 195,2016-01-02 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,300","$2,003,986","300,000",https://www.bestfightodds.com/search?query=UFC%20195,1,Ultimate Fighting Championship
